Task,Metric,Bootstrap_Median,CI95_Lower,CI95_Upper
UTS,R2,0.5216622473723258,0.41597509581071224,0.618562844216429
UTS,RMSE,68.82380740811483,59.900790738839866,79.07585245438638
UTS,MAE,49.660086060110345,43.79197295679423,56.745034489050795
UTS,Source_Macro_MAE,47.107215115407186,42.6769652900578,51.56129621768065
UTS,Source_Macro_RMSE,50.549538789475605,45.83108223823845,55.32045579392963
