Model,R2
DummyMedian,0.0013534813579928
Ridge,0.4218200800810895
XGBoost,0.5220491995943111
ExtraTrees,0.4880615063236279
RandomForest,0.5150954125060383
RF+XGB ensemble,0.5268211291102216
