Configuration,Rows,Sources,R2,RMSE,MAE,Source_Macro_MAE,Source_Macro_RMSE,Label
Direct_Composition,307,63,0.1769414549752411,98.0314436841507,69.6894047004813,71.63431057875125,80.05879838398802,Direct
Forced_Literature_Ratios,307,63,0.2428832506440698,94.02242784901418,67.52526196876889,70.8890595919554,78.43093520312564,Forced ratios
Forced_All_Safe,307,63,0.2317759809152128,94.70959405703444,66.9207192511623,71.16865301877256,78.55876238322853,Forced safe set
Nested_OneSE_Selection,307,63,0.176941454975241,98.0314436841507,69.6894047004813,71.63431057875125,80.05879838398802,Nested selection
