Configuration,Rows,Sources,R2,RMSE,MAE,Bias,Source_Macro_RMSE,Label
no_augmentation,675,258,0.5238067427533386,69.34499800496158,50.10520280276651,6.417446955341851,50.41353275656777,None
half_sigma_2copies,675,258,0.5253958094128985,69.22919847805983,50.077490438042894,6.377656838494547,50.57203464370474,Half σ
nominal_sigma_2copies,675,258,0.5132477369226914,70.10960315713524,51.15112684746529,6.184321363747252,51.21615201054996,Nominal σ
double_sigma_2copies,675,258,0.5208014527224631,69.56347448669898,50.079425405380405,5.7487090889822,50.92256384241976,Double σ
