Task,AD_Status,Rows,Row_Fraction,Sources,Distance_Error_Spearman_All,R2,RMSE,MAE
UTS,All,675,1.0,258,0.17569896550872474,0.5268211291102217,69.12516659499569,49.70170430226349
UTS,Inside,605,0.8962962962962963,236,,0.5306955787018277,67.05188507808828,47.613109784198066
UTS,Outside,70,0.1037037037037037,38,,0.4105066146099975,84.9614947535284,67.75312835125747
