Source_Group,Datasets,Source_Types,Evidence_Levels,Cohort_Row_Counts,DOI_for_access,DOI_as_recorded,DOI_status,Source_Reference,Redistribution_Status,Licence_or_Terms_URL,Access_Route
10.1016/j.matdes.2025.114289,基础合并147,Literature,Curated_traceable,EL:5; MTL:5; Matched:5; UTS:5; YS:5,https://doi.org/10.1016/j.matdes.2025.114289,https://doi.org/10.1016/j.matdes.2025.114289,Consistent_in_reference,https://doi.org/10.1016/j.matdes.2025.114289,Review_required,,Resolve DOI https://doi.org/10.1016/j.matdes.2025.114289 and consult the article/supplement
10.1016/j.matlet.2024.137187,基础合并147,Literature,Curated_traceable,EL:2; MTL:2; Matched:2; UTS:2; YS:2,https://doi.org/10.1016/j.matlet.2024.137187,https://doi.org/10.1016/j.matlet.2024.137187,Consistent_in_reference,https://doi.org/10.1016/j.matlet.2024.137187,Review_required,,Resolve DOI https://doi.org/10.1016/j.matlet.2024.137187 and consult the article/supplement
10.1016/j.msea.2006.12.125,基础合并147,Public_Database,Curated_traceable,EL:1; MTL:1; Matched:1; UTS:1; YS:1,10.1016/j.msea.2006.12.125,10.1016/j.msea.2006.12.125,Consistent_in_reference,10.1016/j.msea.2006.12.125,Review_required,,Resolve DOI 10.1016/j.msea.2006.12.125 and consult the article/supplement
10.1016/j.msea.2007.07.048,基础合并147,Public_Database,Curated_traceable,EL:2; MTL:2; Matched:2; UTS:2; YS:2,10.1016/j.msea.2007.07.048,10.1016/j.msea.2007.07.048,Consistent_in_reference,10.1016/j.msea.2007.07.048,Review_required,,Resolve DOI 10.1016/j.msea.2007.07.048 and consult the article/supplement
10.1016/j.msea.2007.10.083,基础合并147,Public_Database,Curated_traceable,EL:3; MTL:3; Matched:3; UTS:3; YS:3,10.1016/j.msea.2007.10.083,10.1016/j.msea.2007.10.083,Consistent_in_reference,10.1016/j.msea.2007.10.083,Review_required,,Resolve DOI 10.1016/j.msea.2007.10.083 and consult the article/supplement
10.1016/j.msea.2011.11.031,基础合并147,Public_Database,Curated_traceable,EL:9; MTL:9; Matched:9; UTS:9; YS:9,10.1016/j.msea.2011.11.031,10.1016/j.msea.2011.11.031,Consistent_in_reference,10.1016/j.msea.2011.11.031,Review_required,,Resolve DOI 10.1016/j.msea.2011.11.031 and consult the article/supplement
10.1016/j.msea.2012.07.016,基础合并147,Public_Database,Curated_traceable,EL:1; MTL:1; Matched:1; UTS:1; YS:1,10.1016/j.msea.2012.07.016,10.1016/j.msea.2012.07.016,Consistent_in_reference,10.1016/j.msea.2012.07.016,Review_required,,Resolve DOI 10.1016/j.msea.2012.07.016 and consult the article/supplement
10.1016/j.msea.2024.147381,基础合并147,Literature,Curated_traceable,EL:1; MTL:3; Matched:1; UTS:3; YS:2,https://doi.org/10.1016/j.msea.2024.147381,https://doi.org/10.1016/j.msea.2024.147381,Consistent_in_reference,https://doi.org/10.1016/j.msea.2024.147381,Review_required,,Resolve DOI https://doi.org/10.1016/j.msea.2024.147381 and consult the article/supplement
10.1016/j.msea.2026.149868,基础合并147,Literature,Curated_traceable,MTL:2; YS:2,https://doi.org/10.1016/j.msea.2026.149868,https://doi.org/10.1016/j.msea.2026.149868,Consistent_in_reference,https://doi.org/10.1016/j.msea.2026.149868,Review_required,,Resolve DOI https://doi.org/10.1016/j.msea.2026.149868 and consult the article/supplement
10.1016/j.mtcomm.2021.102570,基础合并147,Literature,Curated_traceable,EL:1; MTL:1; Matched:1; UTS:1; YS:1,https://doi.org/10.1016/j.mtcomm.2021.102570,https://doi.org/10.1016/j.mtcomm.2021.102570,Consistent_in_reference,https://doi.org/10.1016/j.mtcomm.2021.102570,Review_required,,Resolve DOI https://doi.org/10.1016/j.mtcomm.2021.102570 and consult the article/supplement
10.1016/j.mtcomm.2025.112843,基础合并147,Literature,Curated_traceable,EL:2; MTL:3; Matched:2; UTS:2; YS:3,https://doi.org/10.1016/j.mtcomm.2025.112843,https://doi.org/10.1016/j.mtcomm.2025.112843,Consistent_in_reference,https://doi.org/10.1016/j.mtcomm.2025.112843,Review_required,,Resolve DOI https://doi.org/10.1016/j.mtcomm.2025.112843 and consult the article/supplement
10.1016/j.mtcomm.2025.113970,基础合并147,Literature,Curated_traceable,EL:1; MTL:1; Matched:1; UTS:1; YS:1,https://doi.org/10.1016/j.mtcomm.2025.113970,https://doi.org/10.1016/j.mtcomm.2025.113970,Consistent_in_reference,https://doi.org/10.1016/j.mtcomm.2025.113970,Review_required,,Resolve DOI https://doi.org/10.1016/j.mtcomm.2025.113970 and consult the article/supplement
10.1016/s0043-1648(03)00373-9,基础合并147,Public_Database,Curated_traceable,MTL:1; UTS:1; YS:1,10.1016/s0043-1648(03)00373-9,10.1016/s0043-1648(03)00373-9,Consistent_in_reference,10.1016/s0043-1648(03)00373-9,Review_required,,Resolve DOI 10.1016/s0043-1648(03)00373-9 and consult the article/supplement
10.1088/2053-1591/ab8492,基础合并147,Literature,Curated_traceable,EL:5; MTL:5; Matched:5; UTS:5; YS:5,https://doi.org/10.1088/2053-1591/ab8492,https://doi.org/10.1088/2053-1591/ab8492,Consistent_in_reference,https://doi.org/10.1088/2053-1591/ab8492,Review_required,,Resolve DOI https://doi.org/10.1088/2053-1591/ab8492 and consult the article/supplement
10.3390/ma13225227,基础合并147,Literature,Curated_traceable,MTL:1; YS:1,doi:10.3390/ma13225227,doi:10.3390/ma13225227,Consistent_in_reference,doi:10.3390/ma13225227,Review_required,,Resolve DOI doi:10.3390/ma13225227 and consult the article/supplement
