Level,Target_A,Target_B,N,Spearman_r,Pearson_r
Row,YS,UTS,266,0.9427368390965046,0.947398387918979
Source_Mean,YS,UTS,59,0.9123573506533845,0.9253917227816526
Row,YS,EL,266,-0.33054082387578587,-0.33159946122258654
Source_Mean,YS,EL,59,-0.47684596740024376,-0.5372810316035562
Row,UTS,EL,266,-0.274397940098845,-0.21854883745641895
Source_Mean,UTS,EL,59,-0.400792027806499,-0.4590092673070372
