Model,Rows,Sources,R2,RMSE,MAE,Bias,Source_Macro_RMSE
DummyMedian,675,258,0.0013534813579928473,100.4221269106528,80.11325037037038,0.3843496296296299,81.57603216542599
Ridge,675,258,0.4218200800810895,76.41084835726907,55.486008599147404,2.5853354346439326,56.69092735852578
ExtraTrees,675,258,0.4880615063236279,71.90058307737127,51.47486053579636,10.709928344327087,50.602322699877654
RandomForest,675,258,0.5150954125060383,69.9764112066331,50.66771409324845,5.75612920348142,51.233078668909286
XGBoost,675,258,0.5220491995943111,69.472850064734,49.836206241319445,6.084604168836805,50.76421050024741
RF+XGB ensemble,675,258,0.5268211291102216,69.12516659499569,49.70170430226349,5.920366686159109,50.50373226227733
