Task,Variant,Rows,Sources,R2,RMSE,MAE,Bias,Source_Macro_MAE,Source_Macro_RMSE
YS,Original,307,63,0.16078931587969325,98.98868079106904,69.6000921266563,14.313273501257793,72.11531717643491,80.60278193944232
YS,Scope_Clean,307,63,0.16078931587969325,98.98868079106904,69.6000921266563,14.313273501257793,72.11531717643491,80.60278193944231
YS,Direct_Literature_Sensitivity,65,19,0.33852313784652055,87.01491870282408,61.56773751705418,-0.5542053479068499,67.8254246563678,75.84969142685476
YS,Conventional_Core_Sensitivity,63,18,0.4143216181056726,80.87282469712066,55.45313283240688,-0.8519727179709635,56.71756821963993,64.84529050070536
EL,Original,550,168,0.18637898292932675,4.136004218758917,2.8735930484025816,-0.2217989296117294,2.4041971133668585,2.6035692814823497
EL,Scope_Clean,537,164,0.14036111659095052,4.2063818495617795,2.845153492578995,-0.30621776983250615,2.318918374631761,2.5155854517443332
EL,Direct_Literature_Sensitivity,312,121,0.11951204181860553,2.5343656521986304,1.9112426935040838,0.08019261888783494,1.9610885659383865,2.0988269611774575
EL,Conventional_Core_Sensitivity,310,120,0.12258986284991347,2.5305389406729795,1.899499113219433,0.06503073785775251,1.9517915887462822,2.0895771346730267
