Configuration,Features,Rows,Sources,R2,RMSE,MAE,Bias,Source_Macro_RMSE
major3,Zn|Mg|Cu,675,258,0.46211310966220576,73.70025643528632,54.73765836258263,5.939075622802949,53.38915915819822
refined5,Zn|Mg|Cu|Fe|Zr,675,258,0.5268211291102217,69.12516659499569,49.70170430226349,5.9203666861591095,50.50373226227733
drop_si,Zn|Mg|Cu|Fe|Mn|Cr|Ti|Zr|Sc,675,258,0.5257647138894163,69.20228771068027,49.108872262345685,6.096154724907373,49.87767117887183
full10,Zn|Mg|Cu|Si|Fe|Mn|Cr|Ti|Zr|Sc,675,258,0.5188371148578366,69.70590648955627,48.949656048425766,6.037460599294836,49.6003184081874
